InferencePacker names: ['upx']
File name: accesschk.exe
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Dialer.ufm, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Dialer.ufq, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Dialer.uft, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Dialer.ukb, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Dialer.yq, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: None, file_name: Trojan.Win32.Dialer.z, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.DialTelSender.e, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: upx, file_name: Trojan.Win32.Diamin.em, predicted-end-of-unpacking: a0x0002075cjmp_0x00017388, score: 0.9843063008153036
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: upx, file_name: Trojan.Win32.Diamin.gf, predicted-end-of-unpacking: a0x0002304cjmp_0x00019c98, score: 0.9843063008153036
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: upx, file_name: Trojan.Win32.Diamin.gn, predicted-end-of-unpacking: a0x0002337cjmp_0x0001a3a8, score: 0.9843063008153036
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: upx, file_name: Trojan.Win32.Diamin.hl, predicted-end-of-unpacking: a0x0002383cjmp_0x0001a98c, score: 0.9843063008153036
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: upx, file_name: Trojan.Win32.Diamin.ic, predicted-end-of-unpacking: a0x00025e2cjmp_0x0001c050, score: 0.9843063008153036
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: upx, file_name: Trojan.Win32.Diamin.ii, predicted-end-of-unpacking: a0x00022f2cjmp_0x00019a04, score: 0.9843063008153033
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: upx, file_name: Trojan.Win32.Diamin.im, predicted-end-of-unpacking: a0x00025dbcjmp_0x0001c088, score: 0.9843063008153036
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Diamin.it, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: upx, file_name: Trojan.Win32.Diamin.ji, predicted-end-of-unpacking: a0x000231bcjmp_0x0001a184, score: 0.9843063008153036
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: None, file_name: Trojan.Win32.Diamin.ks, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: None, file_name: Trojan.Win32.Diamin.me, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: None, file_name: Trojan.Win32.Diamin.mi, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: None, file_name: Trojan.Win32.Diamin.ni, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: None, file_name: Trojan.Win32.Diamin.no, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: None, file_name: Trojan.Win32.Diamin.np, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: None, file_name: Trojan.Win32.Diamin.nq, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: None, file_name: Trojan.Win32.Diamin.ns, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: None, file_name: Trojan.Win32.Diamin.oh, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: None, file_name: Trojan.Win32.Diamin.oq, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: None, file_name: Trojan.Win32.Diamin.ou, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: upx, file_name: Trojan.Win32.Diamin.pd, predicted-end-of-unpacking: a0x00023f4cjmp_0x00019fec, score: 0.9843063008153033
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: upx, file_name: Trojan.Win32.Diamin.pg, predicted-end-of-unpacking: a0x00023facjmp_0x0001a018, score: 0.9843063008153033
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: None, file_name: Trojan.Win32.Diamin.pk, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: None, file_name: Trojan.Win32.Diamin.pm, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: None, file_name: Trojan.Win32.Diamin.po, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: None, file_name: Trojan.Win32.Diamin.ps, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: None, file_name: Trojan.Win32.Diamin.rg, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: None, file_name: Trojan.Win32.Diamin.rj, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: None, file_name: Trojan.Win32.Diamin.rz, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: None, file_name: Trojan.Win32.Diamin.sf, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Diamin.t, predicted-end-of-unpacking: None, score: 0
