InferencePacker names: ['upx']
File name: accesschk.exe
Inference decision: packer_name_be_pum: CustomPacked_PECompactv2.0_1_0.9747233353949426, packer_identification: pecompact, file_name: Trojan.Win32.Emgr.u, predicted-end-of-unpacking: a0x1000b14bjmp_eax, score: 0.9138723981449145
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.DNSChanger.kol, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_FSGv2.0_2_0.9826666678518985, packer_identification: fsg, file_name: Trojan.Win32.Gyner, predicted-end-of-unpacking: a0x004090e1je_0x0040113c, score: 1.0000000000000002
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.lzk, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.hei, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.FraudPack.ajq, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_UPXv3.0_2_0.9422520543091526, packer_identification: upx, file_name: Trojan.Win32.Humor.qm, predicted-end-of-unpacking: a0x004129acjmp_0x0040c8b2, score: 0.9968190785566972
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.DNSChanger.jyt, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_Upackv0.37-0.39_1_0.9029468494566416, packer_identification: winupack, file_name: Trojan.Win32.Inject.cry, predicted-end-of-unpacking: a0x0040e543ret, score: 1.0000000000000002
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.DNSChanger.gyh, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_UPXv3.0_2_0.9422520543091526, packer_identification: upx, file_name: Trojan.Win32.Humor.tl, predicted-end-of-unpacking: a0x00412a8cjmp_0x0040c992, score: 0.9968190785566973
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.khe, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.bju, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.lal, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: FSGv2.0, packer_identification: None, file_name: Trojan.Win32.Inject.ebp, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.efz, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.cpg, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.DNSChanger.iha, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.ckv, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: UPXv1.25, packer_identification: upx, file_name: Trojan.Win32.Inject.axe, predicted-end-of-unpacking: a0x00413863jmp_0x00401000, score: 0.9968190785566972
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.nga, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.DNSChanger.hky, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.drl, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.lkw, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.cha, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.efy, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.FindVM.cn, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.FormatA.f, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.FraudPack.acv, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.hgp, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.fgt, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.hcf, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.kva, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.DNSChanger.ldd, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.oqc, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Efno.a, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.FraudPack.aav, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.mwq, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.jsb, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.aetd, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Hooker.q, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.dck, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.biz, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: UPXv1.25, packer_identification: upx, file_name: Trojan.Win32.Inject.ivv, predicted-end-of-unpacking: a0x01a0394bjmp_0x004012b5, score: 0.993989342403017
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.DNSChanger.haw, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: yodaC, file_name: Trojan.Win32.DNSChanger.fgt, predicted-end-of-unpacking: a0x0040527cret, score: 0.5286246157022934
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.jyb, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: winupack, file_name: Trojan.Win32.Inject.cne, predicted-end-of-unpacking: a0x0040e8f7ret, score: 1.0000000000000002
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.deo, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.dnk, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.bno, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.DNSChanger.jrb, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: winupack, file_name: Trojan.Win32.Inject.iyx, predicted-end-of-unpacking: a0x0041a82fret, score: 1.0000000000000002
Inference decision: packer_name_be_pum: CustomPacked_UPXv3.0_2_0.9422520543091526, packer_identification: upx, file_name: Trojan.Win32.Humor.xw, predicted-end-of-unpacking: a0x004129acjmp_0x0040c8b2, score: 0.9968190785566972
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.dkn, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.hij, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.kth, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_Upackv0.37-0.39_1_0.9443081767347562, packer_identification: None, file_name: Trojan.Win32.Inject.kks, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.ivc, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.meg, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.ebt, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.DNSChanger.lex, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.etn, predicted-end-of-unpacking: None, score: 0
