InferencePacker names: ['upx']
File name: accesschk.exe
Inference decision: packer_name_be_pum: CustomPacked_ASPackv2.12_1_0.9218817873772904, packer_identification: aspack, file_name: Trojan.Win32.Delf.cpe, predicted-end-of-unpacking: a0x004583bfret, score: 0.9743263469438611
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.cpn, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.cqa, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.cqn, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.cqu, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.cr, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_ASPackv2.12_1_0.9218817873772904, packer_identification: aspack, file_name: Trojan.Win32.Delf.csk, predicted-end-of-unpacking: a0x004f13bfret, score: 0.9736505754918345
Inference decision: packer_name_be_pum: CustomPacked_Upackv0.37-0.39_1_0.9029468494566416, packer_identification: winupack, file_name: Trojan.Win32.Delf.csx, predicted-end-of-unpacking: a0x004058ffret, score: 1.0000000000000002
Inference decision: packer_name_be_pum: PETITEv2.4, packer_identification: None, file_name: Trojan.Win32.Delf.ctn, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.cun, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: None, file_name: Trojan.Win32.Delf.cur, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.cux, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.cvq, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.cwa, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.cww, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.cxw, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: None, file_name: Trojan.Win32.Delf.czq, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.da, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.daa, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: ASPackv2.12, packer_identification: aspack, file_name: Trojan.Win32.Delf.dag, predicted-end-of-unpacking: a0x131533bfret, score: 0.9736505754918344
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.dah, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.dan, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.daw, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: UPXv1.25, packer_identification: None, file_name: Trojan.Win32.Delf.day, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.dbc, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.ddn, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_UPXv3.94_1_0.9858101257019252, packer_identification: upx, file_name: Trojan.Win32.Delf.ddo, predicted-end-of-unpacking: a0x004723a3jmp_0x0045811c, score: 0.9892592070680999
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.ddr, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.dei, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.dex, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: FSGv2.0, packer_identification: None, file_name: Trojan.Win32.Delf.dh, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.dhb, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.dib, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_4_0.817630660944162, packer_identification: upx, file_name: Trojan.Win32.Delf.dit, predicted-end-of-unpacking: a0x004ad6fajmp_0x0046007c, score: 0.6940084421318474
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.dki, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.dkv, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: None, file_name: Trojan.Win32.Delf.dla, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.dnk, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.dno, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.dop, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.dpc, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.dpz, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.dqy, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.dra, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_PECompactv2.0_3_0.9729042542692935, packer_identification: None, file_name: Trojan.Win32.Delf.drg, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_ASPackv2.12_1_0.9218817873772904, packer_identification: aspack, file_name: Trojan.Win32.Delf.dsx, predicted-end-of-unpacking: a0x004733bfret, score: 0.9758172600550229
Inference decision: packer_name_be_pum: CustomPacked_UPXv3.94_1_0.9858101257019252, packer_identification: upx, file_name: Trojan.Win32.Delf.dvj, predicted-end-of-unpacking: a0x004b1c03jmp_0x0048b854, score: 0.9892592070681
Inference decision: packer_name_be_pum: CustomPacked_ASPackv2.12_2_0.8924953293904914, packer_identification: aspack, file_name: Trojan.Win32.Delf.dvk, predicted-end-of-unpacking: a0x004203baret, score: 0.9580984036500787
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.dvz, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.dwg, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.dwu, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_ASPackv2.12_1_0.9218817873772904, packer_identification: aspack, file_name: Trojan.Win32.Delf.ea, predicted-end-of-unpacking: a0x0047b3bfret, score: 0.9736505754918346
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.eam, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.edn, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.eey, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.egd, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.egk, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.ehe, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.eiy, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.ekx, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.elf, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.emi, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.eng, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.enh, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: Upackv0.37-0.39, packer_identification: None, file_name: Trojan.Win32.Delf.enq, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.enw, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.epp, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.eqq, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.erq, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.etm, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.eup, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.eur, predicted-end-of-unpacking: None, score: 0
