Packer names: ['fsg']
Sample files: ['AccessEnum.exe']
File name: accesschk.exe
Packer: fsg, file_name: Hasher.exe, error: Dot file not exist
Packer: fsg, file_name: md5summer.exe, error: Dot file not exist
Packer: fsg, file_name: FullEventLogView.exe, sample_file: AccessEnum.exe, end-of-unpacking: a0x0042e0e1je_0x00411228, predicted-end-of-unpacking: a0x0042e0e1je_0x00411228, score: 1.0000000000000002
Final decision: True, Packer: fsg, file_name: FullEventLogView.exe, end-of-unpacking: a0x0042e0e1je_0x00411228, predicted-end-of-unpacking: a0x0042e0e1je_0x00411228, score: 1.0000000000000002
Packer: fsg, file_name: geek.exe, error: Dot file not exist
Packer: fsg, file_name: grepWin-1.9.0_portable.exe, error: Dot file not exist
Packer: fsg, file_name: handle.exe, sample_file: AccessEnum.exe, end-of-unpacking: a0x004c40e1je_0x00407336, predicted-end-of-unpacking: a0x004c40e1je_0x00407336, score: 1.0000000000000002
Final decision: True, Packer: fsg, file_name: handle.exe, end-of-unpacking: a0x004c40e1je_0x00407336, predicted-end-of-unpacking: a0x004c40e1je_0x00407336, score: 1.0000000000000002
Packer: fsg, file_name: HashCalc.exe, sample_file: AccessEnum.exe, end-of-unpacking: a0x004ab0e1je_0x00411e58, predicted-end-of-unpacking: a0x004ab0e1je_0x00411e58, score: 1.0000000000000002
Final decision: True, Packer: fsg, file_name: HashCalc.exe, end-of-unpacking: a0x004ab0e1je_0x00411e58, predicted-end-of-unpacking: a0x004ab0e1je_0x00411e58, score: 1.0000000000000002
Packer: fsg, file_name: Hash.exe, sample_file: AccessEnum.exe, end-of-unpacking: a0x004160e1je_0x0040532c, predicted-end-of-unpacking: a0x004160e1je_0x0040532c, score: 1.0000000000000002
Final decision: True, Packer: fsg, file_name: Hash.exe, end-of-unpacking: a0x004160e1je_0x0040532c, predicted-end-of-unpacking: a0x004160e1je_0x0040532c, score: 1.0000000000000002
Packer: fsg, file_name: hex2dec.exe, sample_file: AccessEnum.exe, end-of-unpacking: a0x004340e1je_0x004047af, predicted-end-of-unpacking: a0x004340e1je_0x004047af, score: 1.0000000000000002
Final decision: True, Packer: fsg, file_name: hex2dec.exe, end-of-unpacking: a0x004340e1je_0x004047af, predicted-end-of-unpacking: a0x004340e1je_0x004047af, score: 1.0000000000000002
Packer: fsg, file_name: HWMonitorPro_x32.exe, sample_file: AccessEnum.exe, end-of-unpacking: a0x006b60e1je_0x004cb60b, predicted-end-of-unpacking: a0x006b60e1je_0x004cb60b, score: 1.0000000000000002
Final decision: True, Packer: fsg, file_name: HWMonitorPro_x32.exe, end-of-unpacking: a0x006b60e1je_0x004cb60b, predicted-end-of-unpacking: a0x006b60e1je_0x004cb60b, score: 1.0000000000000002
Packer: fsg, file_name: InstalledPackagesView.exe, sample_file: AccessEnum.exe, end-of-unpacking: a0x004250e1je_0x0040d42a, predicted-end-of-unpacking: a0x004250e1je_0x0040d42a, score: 1.0000000000000002
Final decision: True, Packer: fsg, file_name: InstalledPackagesView.exe, end-of-unpacking: a0x004250e1je_0x0040d42a, predicted-end-of-unpacking: a0x004250e1je_0x0040d42a, score: 1.0000000000000002
Packer: fsg, file_name: junction.exe, sample_file: AccessEnum.exe, end-of-unpacking: a0x0044c0e1je_0x004064ac, predicted-end-of-unpacking: a0x0044c0e1je_0x004064ac, score: 1.0000000000000002
Final decision: True, Packer: fsg, file_name: junction.exe, end-of-unpacking: a0x0044c0e1je_0x004064ac, predicted-end-of-unpacking: a0x0044c0e1je_0x004064ac, score: 1.0000000000000002
Packer: fsg, file_name: LastActivityView.exe, error: Invalid Input
Packer: fsg, file_name: ldmdump.exe, sample_file: AccessEnum.exe, end-of-unpacking: a0x0042e0e1je_0x00403024, predicted-end-of-unpacking: a0x0042e0e1je_0x00403024, score: 1.0000000000000002
Final decision: True, Packer: fsg, file_name: ldmdump.exe, end-of-unpacking: a0x0042e0e1je_0x00403024, predicted-end-of-unpacking: a0x0042e0e1je_0x00403024, score: 1.0000000000000002
Packer: fsg, file_name: Listdlls.exe, sample_file: AccessEnum.exe, end-of-unpacking: a0x004b20e1je_0x00409666, predicted-end-of-unpacking: a0x004b20e1je_0x00409666, score: 1.0000000000000002
Final decision: True, Packer: fsg, file_name: Listdlls.exe, end-of-unpacking: a0x004b20e1je_0x00409666, predicted-end-of-unpacking: a0x004b20e1je_0x00409666, score: 1.0000000000000002
Packer: fsg, file_name: livekd.exe, error: Not found end-of-unpacking
Packer: fsg, file_name: LoadOrdC.exe, sample_file: AccessEnum.exe, end-of-unpacking: a0x004410e1je_0x00404de2, predicted-end-of-unpacking: a0x004410e1je_0x00404de2, score: 1.0000000000000002
Final decision: True, Packer: fsg, file_name: LoadOrdC.exe, end-of-unpacking: a0x004410e1je_0x00404de2, predicted-end-of-unpacking: a0x004410e1je_0x00404de2, score: 1.0000000000000002
Packer: fsg, file_name: LoadOrd.exe, sample_file: AccessEnum.exe, end-of-unpacking: a0x004360e1je_0x00404e14, predicted-end-of-unpacking: a0x004360e1je_0x00404e14, score: 1.0000000000000002
Final decision: True, Packer: fsg, file_name: LoadOrd.exe, end-of-unpacking: a0x004360e1je_0x00404e14, predicted-end-of-unpacking: a0x004360e1je_0x00404e14, score: 1.0000000000000002
Packer: fsg, file_name: logonsessions.exe, sample_file: AccessEnum.exe, end-of-unpacking: a0x004560e1je_0x00405f5b, predicted-end-of-unpacking: a0x004560e1je_0x00405f5b, score: 1.0000000000000002
Final decision: True, Packer: fsg, file_name: logonsessions.exe, end-of-unpacking: a0x004560e1je_0x00405f5b, predicted-end-of-unpacking: a0x004560e1je_0x00405f5b, score: 1.0000000000000002
Packer: fsg, file_name: MailbirdInstaller.exe, sample_file: AccessEnum.exe, end-of-unpacking: a0x0070b0e1je_0x0048f113, predicted-end-of-unpacking: a0x0070b0e1je_0x0048f113, score: 1.0000000000000002
Final decision: True, Packer: fsg, file_name: MailbirdInstaller.exe, end-of-unpacking: a0x0070b0e1je_0x0048f113, predicted-end-of-unpacking: a0x0070b0e1je_0x0048f113, score: 1.0000000000000002
Packer: fsg, file_name: movefile.exe, sample_file: AccessEnum.exe, end-of-unpacking: a0x0042f0e1je_0x00403f4b, predicted-end-of-unpacking: a0x0042f0e1je_0x00403f4b, score: 1.0000000000000002
Final decision: True, Packer: fsg, file_name: movefile.exe, end-of-unpacking: a0x0042f0e1je_0x00403f4b, predicted-end-of-unpacking: a0x0042f0e1je_0x00403f4b, score: 1.0000000000000002
Packer: fsg, file_name: notmyfaultc.exe, sample_file: AccessEnum.exe, end-of-unpacking: a0x0045f0e1je_0x00405810, predicted-end-of-unpacking: a0x0045f0e1je_0x00405810, score: 1.0000000000000002
Final decision: True, Packer: fsg, file_name: notmyfaultc.exe, end-of-unpacking: a0x0045f0e1je_0x00405810, predicted-end-of-unpacking: a0x0045f0e1je_0x00405810, score: 1.0000000000000002
Packer: fsg, file_name: notmyfault.exe, sample_file: AccessEnum.exe, end-of-unpacking: a0x0045d0e1je_0x00404f25, predicted-end-of-unpacking: a0x0045d0e1je_0x00404f25, score: 1.0000000000000002
Final decision: True, Packer: fsg, file_name: notmyfault.exe, end-of-unpacking: a0x0045d0e1je_0x00404f25, predicted-end-of-unpacking: a0x0045d0e1je_0x00404f25, score: 1.0000000000000002
Packer: fsg, file_name: ntfsinfo.exe, sample_file: AccessEnum.exe, end-of-unpacking: a0x004310e1je_0x004046af, predicted-end-of-unpacking: a0x004310e1je_0x004046af, score: 1.0000000000000002
Final decision: True, Packer: fsg, file_name: ntfsinfo.exe, end-of-unpacking: a0x004310e1je_0x004046af, predicted-end-of-unpacking: a0x004310e1je_0x004046af, score: 1.0000000000000002
Packer: fsg, file_name: OpenedFilesView.exe, sample_file: AccessEnum.exe, end-of-unpacking: a0x0042f0e1je_0x0040fc10, predicted-end-of-unpacking: a0x0042f0e1je_0x0040fc10, score: 1.0000000000000002
Final decision: True, Packer: fsg, file_name: OpenedFilesView.exe, end-of-unpacking: a0x0042f0e1je_0x0040fc10, predicted-end-of-unpacking: a0x0042f0e1je_0x0040fc10, score: 1.0000000000000002
Packer: fsg, file_name: PAGEANT_32.EXE, error: Dot file not exist
