Packer names: ['MPRESS']
Sample files: ['AccessEnum.exe']
File name: accesschk.exe
Packer: MPRESS, file_name: logonsessions.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x00414ae3, predicted-end-of-unpacking: 0x00414ae3, score: 0.9999999999999999
Final decision: True, Packer: MPRESS, file_name: logonsessions.exe, end-of-unpacking: 0x00414ae3, predicted-end-of-unpacking: 0x00414ae3, score: 0.9999999999999999
Packer: MPRESS, file_name: MailbirdInstaller.exe, error: Dot file not exist
Packer: MPRESS, file_name: md5summer.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x0049edfb, predicted-end-of-unpacking: 0x0049edfb, score: 0.9985093185715783
Final decision: True, Packer: MPRESS, file_name: md5summer.exe, end-of-unpacking: 0x0049edfb, predicted-end-of-unpacking: 0x0049edfb, score: 0.9985093185715783
Packer: MPRESS, file_name: movefile.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x00410f57, predicted-end-of-unpacking: 0x00410f57, score: 0.9999999999999999
Final decision: True, Packer: MPRESS, file_name: movefile.exe, end-of-unpacking: 0x00410f57, predicted-end-of-unpacking: 0x00410f57, score: 0.9999999999999999
Packer: MPRESS, file_name: notmyfaultc.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x00414cdb, predicted-end-of-unpacking: 0x00414cdb, score: 0.9999999999999999
Final decision: True, Packer: MPRESS, file_name: notmyfaultc.exe, end-of-unpacking: 0x00414cdb, predicted-end-of-unpacking: 0x00414cdb, score: 0.9999999999999999
Packer: MPRESS, file_name: notmyfault.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x00412837, predicted-end-of-unpacking: 0x00412837, score: 0.9999999999999999
Final decision: True, Packer: MPRESS, file_name: notmyfault.exe, end-of-unpacking: 0x00412837, predicted-end-of-unpacking: 0x00412837, score: 0.9999999999999999
Packer: MPRESS, file_name: ntfsinfo.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x00411ebe, predicted-end-of-unpacking: 0x00411ebe, score: 0.9999999999999999
Final decision: True, Packer: MPRESS, file_name: ntfsinfo.exe, end-of-unpacking: 0x00411ebe, predicted-end-of-unpacking: 0x00411ebe, score: 0.9999999999999999
Packer: MPRESS, file_name: OpenedFilesView.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x00412d4b, predicted-end-of-unpacking: 0x00412d4b, score: 0.9999999999999999
Final decision: True, Packer: MPRESS, file_name: OpenedFilesView.exe, end-of-unpacking: 0x00412d4b, predicted-end-of-unpacking: 0x00412d4b, score: 0.9999999999999999
Packer: MPRESS, file_name: PAGEANT_32.EXE, error: Invalid Input
Packer: MPRESS, file_name: pagedfrg.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x0040b16e, predicted-end-of-unpacking: 0x0040b16e, score: 0.9999999999999999
Final decision: True, Packer: MPRESS, file_name: pagedfrg.exe, end-of-unpacking: 0x0040b16e, predicted-end-of-unpacking: 0x0040b16e, score: 0.9999999999999999
Packer: MPRESS, file_name: pendmoves.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x00411a2a, predicted-end-of-unpacking: 0x00411a2a, score: 0.9999999999999999
Final decision: True, Packer: MPRESS, file_name: pendmoves.exe, end-of-unpacking: 0x00411a2a, predicted-end-of-unpacking: 0x00411a2a, score: 0.9999999999999999
Packer: MPRESS, file_name: PEview.exe, error: Dot file not exist
Packer: MPRESS, file_name: pipelist.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x00422e9e, predicted-end-of-unpacking: 0x00422e9e, score: 0.9999999999999999
Final decision: True, Packer: MPRESS, file_name: pipelist.exe, end-of-unpacking: 0x00422e9e, predicted-end-of-unpacking: 0x00422e9e, score: 0.9999999999999999
Packer: MPRESS, file_name: PortableWinCDEmu-4.0.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x0041d70c, predicted-end-of-unpacking: 0x0041d70c, score: 0.9999999999999999
Final decision: True, Packer: MPRESS, file_name: PortableWinCDEmu-4.0.exe, end-of-unpacking: 0x0041d70c, predicted-end-of-unpacking: 0x0041d70c, score: 0.9999999999999999
Packer: MPRESS, file_name: portmon.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x00431ad5, predicted-end-of-unpacking: 0x00431ad5, score: 0.9981715834311962
Final decision: True, Packer: MPRESS, file_name: portmon.exe, end-of-unpacking: 0x00431ad5, predicted-end-of-unpacking: 0x00431ad5, score: 0.9981715834311962
Packer: MPRESS, file_name: procdump.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x00429ec8, predicted-end-of-unpacking: 0x00429ec8, score: 0.9999999999999999
Final decision: True, Packer: MPRESS, file_name: procdump.exe, end-of-unpacking: 0x00429ec8, predicted-end-of-unpacking: 0x00429ec8, score: 0.9999999999999999
Packer: MPRESS, file_name: Procmon.exe, sample_file: AccessEnum.exe, end-of-unpacking: 0x0048fdaa, predicted-end-of-unpacking: 0x0048fdaa, score: 0.9999999999999999
