This experiments fix wrong packer namePacker names: ['MPRESS']
File name: accesschk.exe
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: ShareEnum.exe, end-of-unpacking: a0x00417cd5jmp_0x409013, predicted-end-of-unpacking: a0x00417cd5jmp_0x409013, score: 0.9998104926017874
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: DTCPing.exe, end-of-unpacking: a0x01009edfjmp_0x0100645c, predicted-end-of-unpacking: a0x01009edfjmp_0x0100645c, score: 0.9999456089008304
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: OpenedFilesView.exe, end-of-unpacking: a0x00412d4bjmp_0x40fc10, predicted-end-of-unpacking: a0x00412d4bjmp_0x40fc10, score: 0.9999456089008304
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: RAMMap.exe, end-of-unpacking: a0x0042b89ajmp_0x0041ab3f, predicted-end-of-unpacking: a0x0042b89ajmp_0x0041ab3f, score: 0.9999456089008304
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: junction.exe, end-of-unpacking: a0x00422b65jmp_0x4064ac, predicted-end-of-unpacking: a0x00422b65jmp_0x4064ac, score: 0.9999799921118777
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: Dbgview.exe, end-of-unpacking: a0x0043387bjmp_0x415757, predicted-end-of-unpacking: a0x0043387bjmp_0x415757, score: 0.9998104926017874
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: PsLoggedon.exe, end-of-unpacking: a0x004148afjmp_0x405926, predicted-end-of-unpacking: a0x004148afjmp_0x405926, score: 0.9999799921118777
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: md5v11027.exe, end-of-unpacking: a0x004064e3jmp_0x004039d8, predicted-end-of-unpacking: a0x004064e3jmp_0x004039d8, score: 0.7277396803674159
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: logonsessions.exe, end-of-unpacking: a0x00414ae3jmp_0x00405f5b, predicted-end-of-unpacking: a0x00414ae3jmp_0x00405f5b, score: 0.9999456089008304
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: PsGetsid.exe, end-of-unpacking: a0x00417da7jmp_0x407ecb, predicted-end-of-unpacking: a0x00417da7jmp_0x407ecb, score: 0.9999456089008304
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: ldmdump.exe, end-of-unpacking: a0x004077d3jmp_0x00403024, predicted-end-of-unpacking: a0x004077d3jmp_0x00403024, score: 0.9999057607691948
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: Contig.exe, end-of-unpacking: a0x00428953jmp_0x407f58, predicted-end-of-unpacking: a0x00428953jmp_0x407f58, score: 0.9999799921118777
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: FileTypesMan.exe, end-of-unpacking: a0x00410f99jmp_0x4109f0, predicted-end-of-unpacking: a0x00410f99jmp_0x4109f0, score: 0.9998544457126568
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: InstalledPackagesView.exe, end-of-unpacking: a0x0040d905jmp_0x40d42a, predicted-end-of-unpacking: a0x0040d905jmp_0x40d42a, score: 0.9999456089008304
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: RegDelNull.exe, end-of-unpacking: a0x00412c2cjmp_0x405426, predicted-end-of-unpacking: a0x00412c2cjmp_0x405426, score: 0.9999799921118777
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: hex2dec.exe, end-of-unpacking: a0x00413a49jmp_0x4047af, predicted-end-of-unpacking: a0x00413a49jmp_0x4047af, score: 0.9999799921118777
Final decision: True, Packer: MPRESS, packer_identification: MPRESS, file_name: Autologon.exe, end-of-unpacking: a0x0040fda7jmp_0x403980, predicted-end-of-unpacking: a0x0040fda7jmp_0x403980, score: 0.9999799921118777
