This experiments fix wrong packer namePacker names: ['aspack']
File name: accesschk.exe
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: psloglist.exe, end-of-unpacking: a0x0042f425ret, predicted-end-of-unpacking: a0x0042f425ret, score: 0.9685198506074754
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: EventLogChannelsView.exe, end-of-unpacking: a0x0041c425ret, predicted-end-of-unpacking: a0x0041c425ret, score: 0.9836410941225834
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: FastHash_kr.exe, end-of-unpacking: a0x00479425ret, predicted-end-of-unpacking: a0x00479425ret, score: 0.9834132230451281
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: sdelete.exe, end-of-unpacking: a0x00428425ret, predicted-end-of-unpacking: a0x00428425ret, score: 0.9685198506074751
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: SearchMyFiles.exe, end-of-unpacking: a0x00428425ret, predicted-end-of-unpacking: a0x00428425ret, score: 0.9832173353270969
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: ShellRunas.exe, end-of-unpacking: a0x00418425ret, predicted-end-of-unpacking: a0x00418425ret, score: 0.9685198506074754
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: Diskmon.exe, end-of-unpacking: a0x0043b425ret, predicted-end-of-unpacking: a0x0043b425ret, score: 0.9685198506074754
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: Bginfo.exe, end-of-unpacking: a0x006ec425ret, predicted-end-of-unpacking: a0x006ec425ret, score: 0.9685198506074754
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: du.exe, end-of-unpacking: a0x0042b425ret, predicted-end-of-unpacking: a0x0042b425ret, score: 0.9685198506074751
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: FindLinks.exe, end-of-unpacking: a0x00425425ret, predicted-end-of-unpacking: a0x00425425ret, score: 0.9685198506074756
Final decision: True, Packer: aspack, packer_identification: aspack, file_name: handle.exe, end-of-unpacking: a0x00474425ret, predicted-end-of-unpacking: a0x00474425ret, score: 0.9685198506074751
