This experiments fix wrong packer namePacker names: ['yodaC']
File name: accesschk.exe
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: accesschk.exe, end-of-unpacking: a0x004c2942ret, predicted-end-of-unpacking: a0x004c2942ret, score: 0.986839615675943
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: notmyfault.exe, end-of-unpacking: a0x0043d942ret, predicted-end-of-unpacking: a0x0043d942ret, score: 0.9784384119331728
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: FolderTimeUpdate.exe, end-of-unpacking: a0x00419942ret, predicted-end-of-unpacking: a0x00419942ret, score: 0.9824514432994091
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: strings.exe, end-of-unpacking: a0x00426942ret, predicted-end-of-unpacking: a0x00426942ret, score: 0.9865989097999813
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: ESEDatabaseView.exe, end-of-unpacking: a0x0041d942ret, predicted-end-of-unpacking: a0x0041d942ret, score: 0.9840829927258101
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: TaskSchedulerView.exe, end-of-unpacking: a0x0041c942ret, predicted-end-of-unpacking: a0x0041c942ret, score: 0.9822641428641348
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: ctrl2cap.exe, end-of-unpacking: a0x00424942ret, predicted-end-of-unpacking: a0x00424942ret, score: 0.9871721074613382
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: DiskView.exe, end-of-unpacking: a0x00591942ret, predicted-end-of-unpacking: a0x00591942ret, score: 0.9828905253673021
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: du.exe, end-of-unpacking: a0x0042b942ret, predicted-end-of-unpacking: a0x0042b942ret, score: 0.9851594362703925
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: FindLinks.exe, end-of-unpacking: a0x00425942ret, predicted-end-of-unpacking: a0x00425942ret, score: 0.9842006140822279
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: diskext.exe, end-of-unpacking: a0x00425942ret, predicted-end-of-unpacking: a0x00425942ret, score: 0.9871912534150737
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: pskill.exe, end-of-unpacking: a0x00447942ret, predicted-end-of-unpacking: a0x00447942ret, score: 0.9817309068540117
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: LoadOrdC.exe, end-of-unpacking: a0x00432942ret, predicted-end-of-unpacking: a0x00432942ret, score: 0.9741844339395311
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: psping.exe, end-of-unpacking: a0x00441942ret, predicted-end-of-unpacking: a0x00441942ret, score: 0.9860054515897316
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: Desktops.exe, end-of-unpacking: a0x00420942ret, predicted-end-of-unpacking: a0x00420942ret, score: 0.9874782131586053
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: PortableWinCDEmu-4.0.exe, end-of-unpacking: a0x004aa942ret, predicted-end-of-unpacking: a0x004aa942ret, score: 0.9823305001226444
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: md5v10.exe, end-of-unpacking: a0x00451942ret, predicted-end-of-unpacking: a0x00451942ret, score: 0.9834983917818936
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: ntfsinfo.exe, end-of-unpacking: a0x00423942ret, predicted-end-of-unpacking: a0x00423942ret, score: 0.979732948842693
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: psloglist.exe, end-of-unpacking: a0x0042f942ret, predicted-end-of-unpacking: a0x0042f942ret, score: 0.9850504331387148
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: FileTypesMan.exe, end-of-unpacking: a0x0041e942ret, predicted-end-of-unpacking: a0x0041e942ret, score: 0.9859493928217895
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: portmon.exe, end-of-unpacking: a0x004db942ret, predicted-end-of-unpacking: a0x004db942ret, score: 0.9867146172680107
