This experiments fix wrong packer namePacker names: ['petitepacked']
File name: accesschk.exe
Final decision: True, Packer: petitepacked, packer_identification: petitepacked, file_name: rrdec.exe, end-of-unpacking: a0x0041710bjmp_0x00401160, predicted-end-of-unpacking: a0x0041710bjmp_0x00401160, score: 1.0000000000000002
Final decision: True, Packer: petitepacked, packer_identification: petitepacked, file_name: ShareEnum.exe, end-of-unpacking: a0x0044010bjmp_0x00409013, predicted-end-of-unpacking: a0x0044010bjmp_0x00409013, score: 1.0000000000000002
Final decision: True, Packer: petitepacked, packer_identification: petitepacked, file_name: OpenedFilesView.exe, end-of-unpacking: a0x0041e10bjmp_0x0040fc10, predicted-end-of-unpacking: a0x0041e10bjmp_0x0040fc10, score: 1.0000000000000002
Final decision: True, Packer: petitepacked, packer_identification: petitepacked, file_name: 7z.exe, end-of-unpacking: a0x0041810bjmp_0x0040ebc5, predicted-end-of-unpacking: a0x0041810bjmp_0x0040ebc5, score: 1.0000000000000002
Final decision: True, Packer: petitepacked, packer_identification: petitepacked, file_name: efsdump.exe, end-of-unpacking: a0x0042410bjmp_0x00402138, predicted-end-of-unpacking: a0x0042410bjmp_0x00402138, score: 1.0000000000000002
Final decision: True, Packer: petitepacked, packer_identification: petitepacked, file_name: PEview.exe, end-of-unpacking: a0x0041510bjmp_0x00401000, predicted-end-of-unpacking: a0x0041510bjmp_0x00401000, score: 1.0000000000000002
Final decision: True, Packer: petitepacked, packer_identification: petitepacked, file_name: gsd.exe, end-of-unpacking: a0x0041010bjmp_0x00402d4e, predicted-end-of-unpacking: a0x0041010bjmp_0x00402d4e, score: 1.0000000000000002
Final decision: True, Packer: petitepacked, packer_identification: petitepacked, file_name: iecleanup.exe, end-of-unpacking: a0x0041710bjmp_0x0040d197, predicted-end-of-unpacking: a0x0041710bjmp_0x0040d197, score: 0.9978637757519417
Final decision: True, Packer: petitepacked, packer_identification: petitepacked, file_name: 7zFMn.exe, end-of-unpacking: a0x0043a10bjmp_0x00420bf2, predicted-end-of-unpacking: a0x0043a10bjmp_0x00420bf2, score: 1.0000000000000002
Final decision: True, Packer: petitepacked, packer_identification: petitepacked, file_name: AkelAdmin.exe, end-of-unpacking: a0x0040710bjmp_0x00401860, predicted-end-of-unpacking: a0x0040710bjmp_0x00401860, score: 1.0000000000000002
Final decision: True, Packer: petitepacked, packer_identification: petitepacked, file_name: md5summer.exe, end-of-unpacking: a0x004e310bjmp_0x0049ec68, predicted-end-of-unpacking: a0x004e310bjmp_0x0049ec68, score: 0.9978637757519417
Final decision: True, Packer: petitepacked, packer_identification: petitepacked, file_name: diagtrackrunner.exe, end-of-unpacking: a0x0041310bjmp_0x004055a0, predicted-end-of-unpacking: a0x0041310bjmp_0x004055a0, score: 0.9978637757519417
Final decision: True, Packer: petitepacked, packer_identification: petitepacked, file_name: Hash.exe, end-of-unpacking: a0x0041210bjmp_0x0040532c, predicted-end-of-unpacking: a0x0041210bjmp_0x0040532c, score: 1.0000000000000002
Final decision: True, Packer: petitepacked, packer_identification: petitepacked, file_name: ESEDatabaseView.exe, end-of-unpacking: a0x0041d10bjmp_0x0040feea, predicted-end-of-unpacking: a0x0041d10bjmp_0x0040feea, score: 1.0000000000000002
Final decision: True, Packer: petitepacked, packer_identification: petitepacked, file_name: adrestore.exe, end-of-unpacking: a0x0042510bjmp_0x00402471, predicted-end-of-unpacking: a0x0042510bjmp_0x00402471, score: 1.0000000000000002
Final decision: True, Packer: petitepacked, packer_identification: petitepacked, file_name: ctrl2cap.exe, end-of-unpacking: a0x0042410bjmp_0x0040221a, predicted-end-of-unpacking: a0x0042410bjmp_0x0040221a, score: 1.0000000000000002
Final decision: True, Packer: petitepacked, packer_identification: petitepacked, file_name: dxwebsetup.exe, end-of-unpacking: a0x0104910bjmp_0x01005a5e, predicted-end-of-unpacking: a0x0104910bjmp_0x01005a5e, score: 1.0000000000000002
Final decision: True, Packer: petitepacked, packer_identification: petitepacked, file_name: pagedfrg.exe, end-of-unpacking: a0x0045710bjmp_0x00403d50, predicted-end-of-unpacking: a0x0045710bjmp_0x00403d50, score: 1.0000000000000002
Final decision: True, Packer: petitepacked, packer_identification: petitepacked, file_name: DTCPing.exe, end-of-unpacking: a0x0106b10bjmp_0x0100645c, predicted-end-of-unpacking: a0x0106b10bjmp_0x0100645c, score: 1.0000000000000002
Final decision: True, Packer: petitepacked, packer_identification: petitepacked, file_name: EventLogChannelsView.exe, end-of-unpacking: a0x0041c10bjmp_0x0040e52e, predicted-end-of-unpacking: a0x0041c10bjmp_0x0040e52e, score: 1.0000000000000002
Final decision: True, Packer: petitepacked, packer_identification: petitepacked, file_name: dat2file.exe, end-of-unpacking: a0x0040f10bjmp_0x00401160, predicted-end-of-unpacking: a0x0040f10bjmp_0x00401160, score: 1.0000000000000002
Final decision: True, Packer: petitepacked, packer_identification: petitepacked, file_name: FullEventLogView.exe, end-of-unpacking: a0x0041f10bjmp_0x00411228, predicted-end-of-unpacking: a0x0041f10bjmp_0x00411228, score: 1.0000000000000002
Final decision: True, Packer: petitepacked, packer_identification: petitepacked, file_name: ldmdump.exe, end-of-unpacking: a0x0042510bjmp_0x00403024, predicted-end-of-unpacking: a0x0042510bjmp_0x00403024, score: 1.0000000000000002
Final decision: True, Packer: petitepacked, packer_identification: petitepacked, file_name: rrenc.exe, end-of-unpacking: a0x0041610bjmp_0x00401160, predicted-end-of-unpacking: a0x0041610bjmp_0x00401160, score: 1.0000000000000002
The accuracy of packer: petitepacked is 1.0
