This experiments fix wrong packer namePacker names: ['upx']
File name: accesschk.exe
Final decision: True, Packer: upx, packer_identification: upx, file_name: DiskView.exe, end-of-unpacking: a0x00593934jmp_0x0040c983, predicted-end-of-unpacking: a0x00593934jmp_0x0040c983, score: 0.990616838413864
Final decision: True, Packer: upx, packer_identification: upx, file_name: RegDelNull.exe, end-of-unpacking: a0x0042892cjmp_0x00405426, predicted-end-of-unpacking: a0x0042892cjmp_0x00405426, score: 0.9843063008153036
Final decision: True, Packer: upx, packer_identification: upx, file_name: psshutdown.exe, end-of-unpacking: a0x0043462cjmp_0x0040677f, predicted-end-of-unpacking: a0x0043462cjmp_0x0040677f, score: 0.9968190785566974
Final decision: True, Packer: upx, packer_identification: upx, file_name: Clockres.exe, end-of-unpacking: a0x00425724jmp_0x00404002, predicted-end-of-unpacking: a0x00425724jmp_0x00404002, score: 0.988480731396874
Final decision: True, Packer: upx, packer_identification: upx, file_name: pagedfrg.exe, end-of-unpacking: a0x00458abcjmp_0x00403d50, predicted-end-of-unpacking: a0x00458abcjmp_0x00403d50, score: 0.9934293061290503
Final decision: True, Packer: upx, packer_identification: upx, file_name: OpenedFilesView.exe, end-of-unpacking: a0x00420a9cjmp_0x0040fc10, predicted-end-of-unpacking: a0x00420a9cjmp_0x0040fc10, score: 0.9968190785566969
Final decision: True, Packer: upx, packer_identification: upx, file_name: disk2vhd.exe, end-of-unpacking: a0x00ad4b86jmp_0x0042bf34, predicted-end-of-unpacking: a0x00ad4b86jmp_0x0042bf34, score: 0.9852734610159627
Final decision: True, Packer: upx, packer_identification: upx, file_name: dxwebsetup.exe, end-of-unpacking: a0x0104fa0cjmp_0x01005a5e, predicted-end-of-unpacking: a0x0104fa0cjmp_0x01005a5e, score: 0.9934293061290502
Final decision: True, Packer: upx, packer_identification: upx, file_name: PsInfo.exe, end-of-unpacking: a0x00456c2cjmp_0x0040a0cf, predicted-end-of-unpacking: a0x00456c2cjmp_0x0040a0cf, score: 0.9934293061290502
Final decision: True, Packer: upx, packer_identification: upx, file_name: junction.exe, end-of-unpacking: a0x00437973jmp_0x004064ac, predicted-end-of-unpacking: a0x00437973jmp_0x004064ac, score: 0.9968190785566972
Final decision: True, Packer: upx, packer_identification: upx, file_name: vmmap.exe, end-of-unpacking: a0x00544f05jmp_0x004313a5, predicted-end-of-unpacking: a0x00544f05jmp_0x004313a5, score: 0.9811194684146496
Final decision: True, Packer: upx, packer_identification: upx, file_name: portmon.exe, end-of-unpacking: a0x004dd994jmp_0x00413b0e, predicted-end-of-unpacking: a0x004dd994jmp_0x00413b0e, score: 0.9906168384138642
Final decision: True, Packer: upx, packer_identification: upx, file_name: Desktops.exe, end-of-unpacking: a0x00422b54jmp_0x004046c6, predicted-end-of-unpacking: a0x00422b54jmp_0x004046c6, score: 0.988480731396874
Final decision: True, Packer: upx, packer_identification: upx, file_name: handle.exe, end-of-unpacking: a0x004759b3jmp_0x00407336, predicted-end-of-unpacking: a0x004759b3jmp_0x00407336, score: 0.9934293061290503
Final decision: True, Packer: upx, packer_identification: upx, file_name: Diskmon.exe, end-of-unpacking: a0x0043d00cjmp_0x0040b4b8, predicted-end-of-unpacking: a0x0043d00cjmp_0x0040b4b8, score: 0.9968190785566973
