This experiments fix wrong packer namePacker names: ['packman']
File name: accesschk.exe
Final decision: True, Packer: packman, packer_identification: packman, file_name: psping.exe, end-of-unpacking: a0x0044180cjmp_0x004115cc, predicted-end-of-unpacking: a0x0044180cjmp_0x004115cc, score: 1.0000000000000002
Final decision: True, Packer: packman, packer_identification: packman, file_name: RegDelNull.exe, end-of-unpacking: a0x00426814jmp_0x00405426, predicted-end-of-unpacking: a0x00426814jmp_0x00405426, score: 1.0000000000000002
Final decision: True, Packer: packman, packer_identification: packman, file_name: pskill.exe, end-of-unpacking: a0x004477d4jmp_0x0040763e, predicted-end-of-unpacking: a0x004477d4jmp_0x0040763e, score: 1.0
Final decision: True, Packer: packman, packer_identification: packman, file_name: ctrl2cap.exe, end-of-unpacking: a0x0042417cjmp_0x0040221a, predicted-end-of-unpacking: a0x0042417cjmp_0x0040221a, score: 1.0
Final decision: True, Packer: packman, packer_identification: packman, file_name: Procmon.exe, end-of-unpacking: a0x0061ee44jmp_0x004755cb, predicted-end-of-unpacking: a0x0061ee44jmp_0x004755cb, score: 1.0000000000000002
Final decision: True, Packer: packman, packer_identification: packman, file_name: Desktops.exe, end-of-unpacking: a0x00421054jmp_0x004046c6, predicted-end-of-unpacking: a0x00421054jmp_0x004046c6, score: 1.0000000000000002
Final decision: True, Packer: packman, packer_identification: packman, file_name: notmyfault.exe, end-of-unpacking: a0x0044d634jmp_0x00404f25, predicted-end-of-unpacking: a0x0044d634jmp_0x00404f25, score: 1.0000000000000002
Final decision: True, Packer: packman, packer_identification: packman, file_name: dxwebsetup.exe, end-of-unpacking: a0x0104a0e4jmp_0x01005a5e, predicted-end-of-unpacking: a0x0104a0e4jmp_0x01005a5e, score: 1.0
Final decision: True, Packer: packman, packer_identification: packman, file_name: pendmoves.exe, end-of-unpacking: a0x00424784jmp_0x00404452, predicted-end-of-unpacking: a0x00424784jmp_0x00404452, score: 1.0000000000000002
Final decision: True, Packer: packman, packer_identification: packman, file_name: md5v12005.exe, end-of-unpacking: a0x004816c0jmp_0x004039d8, predicted-end-of-unpacking: a0x004816c0jmp_0x004039d8, score: 1.0
Final decision: True, Packer: packman, packer_identification: packman, file_name: RAMMap.exe, end-of-unpacking: a0x0049ff6cjmp_0x0041ab3f, predicted-end-of-unpacking: a0x0049ff6cjmp_0x0041ab3f, score: 1.0000000000000002
Final decision: True, Packer: packman, packer_identification: packman, file_name: pslist.exe, end-of-unpacking: a0x0042d720jmp_0x00409bbe, predicted-end-of-unpacking: a0x0042d720jmp_0x00409bbe, score: 1.0
Final decision: True, Packer: packman, packer_identification: packman, file_name: LoadOrdC.exe, end-of-unpacking: a0x00432c50jmp_0x00404de2, predicted-end-of-unpacking: a0x00432c50jmp_0x00404de2, score: 1.0000000000000002
Final decision: True, Packer: packman, packer_identification: packman, file_name: efsdump.exe, end-of-unpacking: a0x00424180jmp_0x00402138, predicted-end-of-unpacking: a0x00424180jmp_0x00402138, score: 1.0
Final decision: True, Packer: packman, packer_identification: packman, file_name: Diskmon.exe, end-of-unpacking: a0x0043c174jmp_0x0040b4b8, predicted-end-of-unpacking: a0x0043c174jmp_0x0040b4b8, score: 1.0
Final decision: True, Packer: packman, packer_identification: packman, file_name: psshutdown.exe, end-of-unpacking: a0x004337e8jmp_0x0040677f, predicted-end-of-unpacking: a0x004337e8jmp_0x0040677f, score: 1.0
Final decision: True, Packer: packman, packer_identification: packman, file_name: HWMonitorPro_x32.exe, end-of-unpacking: a0x006154e0jmp_0x004cb60b, predicted-end-of-unpacking: a0x006154e0jmp_0x004cb60b, score: 1.0
Final decision: True, Packer: packman, packer_identification: packman, file_name: PsGetsid.exe, end-of-unpacking: a0x0044a81cjmp_0x00407ecb, predicted-end-of-unpacking: a0x0044a81cjmp_0x00407ecb, score: 1.0000000000000002
Final decision: True, Packer: packman, packer_identification: packman, file_name: ru.exe, end-of-unpacking: a0x00424730jmp_0x0040570c, predicted-end-of-unpacking: a0x00424730jmp_0x0040570c, score: 1.0
Final decision: True, Packer: packman, packer_identification: packman, file_name: procdump.exe, end-of-unpacking: a0x004a18d0jmp_0x004171e7, predicted-end-of-unpacking: a0x004a18d0jmp_0x004171e7, score: 1.0000000000000002
Final decision: True, Packer: packman, packer_identification: packman, file_name: Cacheset.exe, end-of-unpacking: a0x004265fcjmp_0x004024a2, predicted-end-of-unpacking: a0x004265fcjmp_0x004024a2, score: 1.0
Final decision: True, Packer: packman, packer_identification: packman, file_name: psloglist.exe, end-of-unpacking: a0x0042f7c0jmp_0x00409955, predicted-end-of-unpacking: a0x0042f7c0jmp_0x00409955, score: 1.0
Final decision: True, Packer: packman, packer_identification: packman, file_name: md5v11.exe, end-of-unpacking: a0x0046d6c0jmp_0x004039d8, predicted-end-of-unpacking: a0x0046d6c0jmp_0x004039d8, score: 1.0
Final decision: True, Packer: packman, packer_identification: packman, file_name: ShellRunas.exe, end-of-unpacking: a0x00419374jmp_0x00403ba0, predicted-end-of-unpacking: a0x00419374jmp_0x00403ba0, score: 1.0
Final decision: True, Packer: packman, packer_identification: packman, file_name: md5v11027.exe, end-of-unpacking: a0x0046b6c0jmp_0x004039d8, predicted-end-of-unpacking: a0x0046b6c0jmp_0x004039d8, score: 1.0
Final decision: True, Packer: packman, packer_identification: packman, file_name: EventLogChannelsView.exe, end-of-unpacking: a0x0041e798jmp_0x0040e52e, predicted-end-of-unpacking: a0x0041e798jmp_0x0040e52e, score: 1.0
Final decision: True, Packer: packman, packer_identification: packman, file_name: sync.exe, end-of-unpacking: a0x00425740jmp_0x004049fe, predicted-end-of-unpacking: a0x00425740jmp_0x004049fe, score: 1.0000000000000002
